,tile,loss,mae,mse,psnr,ssim,bias
0,AG1km.v003.46.006.0010.h5,0.08000419288873672,0.029045499861240387,0.0009496919810771942,30.224172592163086,0.9490413069725037,0.02858899161219597
0,AG1km.v003.46.007.0010.h5,0.06827826797962189,0.027295779436826706,0.000813186401501298,30.89809799194336,0.9590175151824951,0.027161626145243645
0,AG1km.v003.46.008.0010.h5,0.07249633967876434,0.03696577250957489,0.0014561732532456517,28.367870330810547,0.9644694328308105,0.036532897502183914
0,AG1km.v003.46.009.0010.h5,0.08192554116249084,0.051822513341903687,0.0027323374524712563,25.634658813476562,0.9698969721794128,0.05181887373328209
